# eps=0 u'(0)=0
0.0788099 0.960636
0.0789323 0.960575
0.0790546 0.960514
0.0791769 0.960453
0.0792993 0.960392
0.0794216 0.960331
0.079544 0.96027
0.0796663 0.960209
0.0797886 0.960148
0.079911 0.960087
0.0800333 0.960026
0.0801556 0.959965
0.0802779 0.959904
0.0804002 0.959843
0.0805226 0.959782
0.0806449 0.959721
0.0807672 0.95966
0.0808895 0.959599
0.0810118 0.959538
0.0811341 0.959477
0.0812564 0.959416
0.0813787 0.959356
0.081501 0.959295
0.0816233 0.959234
0.0817456 0.959173
0.0818679 0.959112
0.0819902 0.959051
0.0821125 0.95899
0.0822348 0.958929
0.0823571 0.958868
0.0824794 0.958807
0.0826016 0.958746
0.0827239 0.958685
0.0828462 0.958624
0.0829685 0.958563
0.0830907 0.958502
0.083213 0.958441
0.0833353 0.958381
0.0834575 0.95832
0.0835798 0.958259
0.0837021 0.958198
0.0838243 0.958137
0.0839466 0.958076
0.0840688 0.958015
0.0841911 0.957954
0.0843133 0.957893
0.0844356 0.957832
0.0845578 0.957771
0.0846801 0.957711
0.0848023 0.95765
0.0849245 0.957589
0.0850468 0.957528
0.085169 0.957467
0.0852912 0.957406
0.0854135 0.957345
0.0855357 0.957284
0.0856579 0.957223
0.0857801 0.957163
0.0859024 0.957102
0.0860246 0.957041
0.0861468 0.95698
0.086269 0.956919
0.0863912 0.956858
0.0865134 0.956797
0.0866356 0.956736
0.0867578 0.956675
0.08688 0.956615
0.0870023 0.956554
0.0871244 0.956493
0.0872466 0.956432
0.0873688 0.956371
0.087491 0.95631
0.0876132 0.956249
0.0877354 0.956189
0.0878576 0.956128
0.0879798 0.956067
0.088102 0.956006
0.0882241 0.955945
0.0883463 0.955884
0.0884685 0.955823
0.0885907 0.955763
0.0887128 0.955702
0.088835 0.955641
0.0889572 0.95558
0.0890793 0.955519
0.0892015 0.955458
0.0893236 0.955398
0.0894458 0.955337
0.089568 0.955276
0.0896901 0.955215
0.0898123 0.955154
0.0899344 0.955093
0.0900565 0.955033
0.0901787 0.954972
0.0903008 0.954911
0.090423 0.95485
0.0905451 0.954789
0.0906672 0.954728
0.0907894 0.954668
0.0909115 0.954607
0.0910336 0.954546
0.0911558 0.954485
0.0912779 0.954424
0.0914 0.954364
0.0915221 0.954303
0.0916442 0.954242
0.0917664 0.954181
0.0918885 0.95412
0.0920106 0.95406
0.0921327 0.953999
0.0922548 0.953938
0.0923769 0.953877
0.092499 0.953816
0.0926211 0.953756
0.0927432 0.953695
0.0928653 0.953634
0.0929874 0.953573
0.0931095 0.953513
0.0932316 0.953452
0.0933536 0.953391
0.0934757 0.95333
0.0935978 0.953269
0.0937199 0.953209
0.093842 0.953148
0.093964 0.953087
0.0940861 0.953026
0.0942082 0.952966
0.0943302 0.952905
0.0944523 0.952844
0.0945744 0.952783
0.0946964 0.952723
0.0948185 0.952662
0.0949405 0.952601
0.0950626 0.95254
0.0951847 0.95248
0.0953067 0.952419
0.0954288 0.952358
0.0955508 0.952297
0.0956728 0.952237
0.0957949 0.952176
0.0959169 0.952115
0.096039 0.952054
0.096161 0.951994
0.096283 0.951933
0.0964051 0.951872
0.0965271 0.951811
0.0966491 0.951751
0.0967711 0.95169
0.0968932 0.951629
0.0970152 0.951568
0.0971372 0.951508
0.0972592 0.951447
0.0973812 0.951386
0.0975032 0.951326
0.0976252 0.951265
0.0977472 0.951204
0.0978692 0.951143
0.0979912 0.951083
0.0981132 0.951022
0.0982352 0.950961
0.0983572 0.950901
0.0984792 0.95084
0.0986012 0.950779
0.0987232 0.950719
0.0988452 0.950658
0.0989672 0.950597
0.0990892 0.950536
0.0992111 0.950476
0.0993331 0.950415
0.0994551 0.950354
0.0995771 0.950294
0.099699 0.950233
0.099821 0.950172
0.099943 0.950112
0.100065 0.950051
0.100187 0.94999
0.100309 0.94993
0.100431 0.949869
0.100553 0.949808
0.100675 0.949748
0.100797 0.949687
0.100919 0.949626
0.101041 0.949566
0.101163 0.949505
0.101284 0.949444
0.101406 0.949384
0.101528 0.949323
0.10165 0.949262
0.101772 0.949202
0.101894 0.949141
0.102016 0.94908
0.102138 0.94902
0.10226 0.948959
0.102382 0.948898
0.102504 0.948838
0.102626 0.948777
0.102748 0.948717
0.102869 0.948656
0.102991 0.948595
0.103113 0.948535
0.103235 0.948474
0.103357 0.948413
0.103479 0.948353
0.103601 0.948292
0.103723 0.948232
0.103845 0.948171
0.103967 0.94811
0.104088 0.94805
0.10421 0.947989
0.104332 0.947928
0.104454 0.947868
0.104576 0.947807
0.104698 0.947747
0.10482 0.947686
0.104942 0.947625
0.105064 0.947565
0.105185 0.947504
0.105307 0.947444
0.105429 0.947383
0.105551 0.947322
0.105673 0.947262
0.105795 0.947201
0.105917 0.947141
0.106038 0.94708
0.10616 0.94702
0.106282 0.946959
0.106404 0.946898
0.106526 0.946838
0.106648 0.946777
0.10677 0.946717
0.106891 0.946656
0.107013 0.946595
0.107135 0.946535
0.107257 0.946474
0.107379 0.946414
0.107501 0.946353
0.107622 0.946293
0.107744 0.946232
0.107866 0.946172
0.107988 0.946111
0.10811 0.94605
0.108231 0.94599
0.108353 0.945929
0.108475 0.945869
0.108597 0.945808
0.108719 0.945748
0.10884 0.945687
0.108962 0.945627
0.109084 0.945566
0.109206 0.945506
0.109328 0.945445
0.109449 0.945384
0.109571 0.945324
0.109693 0.945263
0.109815 0.945203
0.109937 0.945142
0.110058 0.945082
0.11018 0.945021
0.110302 0.944961
0.110424 0.9449
0.110545 0.94484
0.110667 0.944779
0.110789 0.944719
0.110911 0.944658
0.111033 0.944598
0.111154 0.944537
0.111276 0.944477
0.111398 0.944416
0.11152 0.944356
0.111641 0.944295
0.111763 0.944235
0.111885 0.944174
0.112007 0.944114
0.112128 0.944053
0.11225 0.943993
0.112372 0.943932
0.112494 0.943872
0.112615 0.943811
0.112737 0.943751
0.112859 0.94369
0.11298 0.94363
0.113102 0.943569
0.113224 0.943509
0.113346 0.943448
0.113467 0.943388
0.113589 0.943328
0.113711 0.943267
0.113833 0.943207
0.113954 0.943146
0.114076 0.943086
0.114198 0.943025
0.114319 0.942965
0.114441 0.942904
0.114563 0.942844
0.114684 0.942783
0.114806 0.942723
0.114928 0.942663
0.11505 0.942602
0.115171 0.942542
0.115293 0.942481
0.115415 0.942421
0.115536 0.94236
0.115658 0.9423
0.11578 0.942239
0.115901 0.942179
0.116023 0.942119
0.116145 0.942058
0.116266 0.941998
0.116388 0.941937
0.11651 0.941877
0.116631 0.941816
0.116753 0.941756
0.116875 0.941696
0.116996 0.941635
0.117118 0.941575
0.11724 0.941514
0.117361 0.941454
0.117483 0.941394
0.117604 0.941333
0.117726 0.941273
0.117848 0.941212
0.117969 0.941152
